,Item,Reg_Price,Sale_Price,Size,Unit_Size,Image,Category,Subcategory
75,Pepperidge Farm Whole Grain 100% Whole Wheat Bread,,$3.99 ,24 oz pkg, | $0.17 / oz,./Bread_Bakery_Packaged_Bread_files/E2JY4.jpg,Bread_Bakery,Packaged_Bread
76,Wonder Bread White Classic Regular,$2.79 ,,16 oz pkg, | $0.17 / oz,./Bread_Bakery_Packaged_Bread_files/RZVQ8.jpg,Bread_Bakery,Packaged_Bread
77,Freihofer's Premium Bread Italian,$3.99 ,,20 oz pkg, | $0.20 / oz,./Bread_Bakery_Packaged_Bread_files/8A1N8.jpg,Bread_Bakery,Packaged_Bread
78,Stop & Shop Pumpernickel Bread,$2.99 ,,16 oz pkg, | $0.19 / oz,./Bread_Bakery_Packaged_Bread_files/1OGNM.jpg,Bread_Bakery,Packaged_Bread
79,Country Kitchen Split Top Wheat,$3.99 ,,20 oz pkg, | $0.20 / oz,./Bread_Bakery_Packaged_Bread_files/ON7YG.jpg,Bread_Bakery,Packaged_Bread
80,Pepperidge Farm Jewish Pumpernickel Bread Dark Pump,$3.99 ,,16 oz pkg, | $0.25 / oz,./Bread_Bakery_Packaged_Bread_files/Q3AEV.jpg,Bread_Bakery,Packaged_Bread
81,Pepperidge Farm Light Style Bread Soft Wheat,$4.29 ,,16 oz pkg, | $0.27 / oz,./Bread_Bakery_Packaged_Bread_files/AW9AB.jpg,Bread_Bakery,Packaged_Bread
82,Sara Lee Soft & Smooth Whole Grain White Bread,$2.99 ,,20 oz pkg, | $0.15 / oz,./Bread_Bakery_Packaged_Bread_files/JA4JK.jpg,Bread_Bakery,Packaged_Bread
83,Pepperidge Farm Bread Whole 15 Grain,,$3.99 ,24 oz pkg, | $0.17 / oz,./Bread_Bakery_Packaged_Bread_files/EDDM8.jpg,Bread_Bakery,Packaged_Bread
84,Country Kitchen Bread White Hearty Canadian,$4.59 ,,22 oz pkg, | $0.21 / oz,./Bread_Bakery_Packaged_Bread_files/NCV35.jpg,Bread_Bakery,Packaged_Bread
